Domain,Area,Element,Months,Year,Unit,Value
"Temperature change on land","Ethiopia","Temperature change","Meteorological year","2013","°c","1.236"
"Temperature change on land","Ethiopia","Temperature change","Meteorological year","2014","°c","1.164"
"Temperature change on land","Ethiopia","Temperature change","Meteorological year","2015","°c","1.463"
"Temperature change on land","Ethiopia","Temperature change","Meteorological year","2016","°c","1.524"
"Temperature change on land","Ethiopia","Temperature change","Meteorological year","2017","°c","1.338"
"Temperature change on land","Ethiopia","Temperature change","Meteorological year","2018","°c","0.729"
"Temperature change on land","Ethiopia","Temperature change","Meteorological year","2019","°c","1.064"
"Temperature change on land","Ethiopia","Temperature change","Meteorological year","2020","°c","1.045"
"Temperature change on land","Ethiopia","Temperature change","Meteorological year","2021","°c","1.21"
"Temperature change on land","Falkland Islands (Malvinas)","Temperature change","Meteorological year","2000","°c",""
"Temperature change on land","Falkland Islands (Malvinas)","Temperature change","Meteorological year","2001","°c",""
"Temperature change on land","Falkland Islands (Malvinas)","Temperature change","Meteorological year","2002","°c",""
"Temperature change on land","Falkland Islands (Malvinas)","Temperature change","Meteorological year","2003","°c",""
"Temperature change on land","Falkland Islands (Malvinas)","Temperature change","Meteorological year","2004","°c",""
"Temperature change on land","Falkland Islands (Malvinas)","Temperature change","Meteorological year","2005","°c",""
"Temperature change on land","Falkland Islands (Malvinas)","Temperature change","Meteorological year","2006","°c",""
"Temperature change on land","Falkland Islands (Malvinas)","Temperature change","Meteorological year","2007","°c",""
"Temperature change on land","Falkland Islands (Malvinas)","Temperature change","Meteorological year","2008","°c",""
"Temperature change on land","Falkland Islands (Malvinas)","Temperature change","Meteorological year","2009","°c",""
"Temperature change on land","Falkland Islands (Malvinas)","Temperature change","Meteorological year","2010","°c",""
"Temperature change on land","Falkland Islands (Malvinas)","Temperature change","Meteorological year","2011","°c",""
"Temperature change on land","Falkland Islands (Malvinas)","Temperature change","Meteorological year","2012","°c",""
"Temperature change on land","Falkland Islands (Malvinas)","Temperature change","Meteorological year","2013","°c",""
"Temperature change on land","Falkland Islands (Malvinas)","Temperature change","Meteorological year","2014","°c",""
"Temperature change on land","Falkland Islands (Malvinas)","Temperature change","Meteorological year","2015","°c",""
"Temperature change on land","Falkland Islands (Malvinas)","Temperature change","Meteorological year","2016","°c",""
"Temperature change on land","Falkland Islands (Malvinas)","Temperature change","Meteorological year","2017","°c",""
"Temperature change on land","Falkland Islands (Malvinas)","Temperature change","Meteorological year","2018","°c",""
"Temperature change on land","Falkland Islands (Malvinas)","Temperature change","Meteorological year","2019","°c",""
"Temperature change on land","Falkland Islands (Malvinas)","Temperature change","Meteorological year","2020","°c",""
"Temperature change on land","Falkland Islands (Malvinas)","Temperature change","Meteorological year","2021","°c",""
"Temperature change on land","Faroe Islands","Temperature change","Meteorological year","2000","°c","0.258"
"Temperature change on land","Faroe Islands","Temperature change","Meteorological year","2001","°c","0.517"
"Temperature change on land","Faroe Islands","Temperature change","Meteorological year","2002","°c","1.089"
"Temperature change on land","Faroe Islands","Temperature change","Meteorological year","2003","°c","1.657"
"Temperature change on land","Faroe Islands","Temperature change","Meteorological year","2004","°c","1.073"
"Temperature change on land","Faroe Islands","Temperature change","Meteorological year","2005","°c","0.529"
"Temperature change on land","Faroe Islands","Temperature change","Meteorological year","2006","°c","1.176"
"Temperature change on land","Faroe Islands","Temperature change","Meteorological year","2007","°c","0.992"
"Temperature change on land","Faroe Islands","Temperature change","Meteorological year","2008","°c","0.928"
"Temperature change on land","Faroe Islands","Temperature change","Meteorological year","2009","°c","1.482"
"Temperature change on land","Faroe Islands","Temperature change","Meteorological year","2010","°c","0.297"
"Temperature change on land","Faroe Islands","Temperature change","Meteorological year","2011","°c","1.094"
"Temperature change on land","Faroe Islands","Temperature change","Meteorological year","2012","°c","0.402"
"Temperature change on land","Faroe Islands","Temperature change","Meteorological year","2013","°c","0.636"
"Temperature change on land","Faroe Islands","Temperature change","Meteorological year","2014","°c","1.807"
"Temperature change on land","Faroe Islands","Temperature change","Meteorological year","2015","°c","0.855"
"Temperature change on land","Faroe Islands","Temperature change","Meteorological year","2016","°c","0.845"
"Temperature change on land","Faroe Islands","Temperature change","Meteorological year","2017","°c","1.53"
"Temperature change on land","Faroe Islands","Temperature change","Meteorological year","2018","°c","0.871"
"Temperature change on land","Faroe Islands","Temperature change","Meteorological year","2019","°c","0.912"
"Temperature change on land","Faroe Islands","Temperature change","Meteorological year","2020","°c","0.877"
"Temperature change on land","Faroe Islands","Temperature change","Meteorological year","2021","°c","1.03"
"Temperature change on land","Fiji","Temperature change","Meteorological year","2000","°c","0.547"
"Temperature change on land","Fiji","Temperature change","Meteorological year","2001","°c","0.561"
"Temperature change on land","Fiji","Temperature change","Meteorological year","2002","°c","0.549"
"Temperature change on land","Fiji","Temperature change","Meteorological year","2003","°c","0.441"
"Temperature change on land","Fiji","Temperature change","Meteorological year","2004","°c","0.359"
"Temperature change on land","Fiji","Temperature change","Meteorological year","2005","°c","0.5"
"Temperature change on land","Fiji","Temperature change","Meteorological year","2006","°c","0.466"
"Temperature change on land","Fiji","Temperature change","Meteorological year","2007","°c","0.832"
"Temperature change on land","Fiji","Temperature change","Meteorological year","2008","°c","0.367"
"Temperature change on land","Fiji","Temperature change","Meteorological year","2009","°c","0.119"
"Temperature change on land","Fiji","Temperature change","Meteorological year","2010","°c","0.7"
"Temperature change on land","Fiji","Temperature change","Meteorological year","2011","°c","0.688"
"Temperature change on land","Fiji","Temperature change","Meteorological year","2012","°c","0.401"
"Temperature change on land","Fiji","Temperature change","Meteorological year","2013","°c","0.761"
"Temperature change on land","Fiji","Temperature change","Meteorological year","2014","°c","0.612"
"Temperature change on land","Fiji","Temperature change","Meteorological year","2015","°c","0.569"
"Temperature change on land","Fiji","Temperature change","Meteorological year","2016","°c","1.006"
"Temperature change on land","Fiji","Temperature change","Meteorological year","2017","°c","1.067"
"Temperature change on land","Fiji","Temperature change","Meteorological year","2018","°c","0.653"
"Temperature change on land","Fiji","Temperature change","Meteorological year","2019","°c","0.846"
"Temperature change on land","Fiji","Temperature change","Meteorological year","2020","°c","1.03"
"Temperature change on land","Fiji","Temperature change","Meteorological year","2021","°c","0.857"
"Temperature change on land","Finland","Temperature change","Meteorological year","2000","°c","2.031"
"Temperature change on land","Finland","Temperature change","Meteorological year","2001","°c","1.377"
"Temperature change on land","Finland","Temperature change","Meteorological year","2002","°c","1.179"
"Temperature change on land","Finland","Temperature change","Meteorological year","2003","°c","0.717"
"Temperature change on land","Finland","Temperature change","Meteorological year","2004","°c","1.239"
"Temperature change on land","Finland","Temperature change","Meteorological year","2005","°c","2.209"
"Temperature change on land","Finland","Temperature change","Meteorological year","2006","°c","1.21"
"Temperature change on land","Finland","Temperature change","Meteorological year","2007","°c","1.952"
"Temperature change on land","Finland","Temperature change","Meteorological year","2008","°c","2.135"
"Temperature change on land","Finland","Temperature change","Meteorological year","2009","°c","1.699"
"Temperature change on land","Finland","Temperature change","Meteorological year","2010","°c","0.243"
"Temperature change on land","Finland","Temperature change","Meteorological year","2011","°c","1.352"
"Temperature change on land","Finland","Temperature change","Meteorological year","2012","°c","1.539"
"Temperature change on land","Finland","Temperature change","Meteorological year","2013","°c","1.426"
"Temperature change on land","Finland","Temperature change","Meteorological year","2014","°c","2.591"
"Temperature change on land","Finland","Temperature change","Meteorological year","2015","°c","2.614"
"Temperature change on land","Finland","Temperature change","Meteorological year","2016","°c","2.153"
"Temperature change on land","Finland","Temperature change","Meteorological year","2017","°c","1.488"
"Temperature change on land","Finland","Temperature change","Meteorological year","2018","°c","2.16"
"Temperature change on land","Finland","Temperature change","Meteorological year","2019","°c","1.454"
"Temperature change on land","Finland","Temperature change","Meteorological year","2020","°c","3.321"
"Temperature change on land","Finland","Temperature change","Meteorological year","2021","°c","1.942"
"Temperature change on land","France","Temperature change","Meteorological year","2000","°c","1.173"
"Temperature change on land","France","Temperature change","Meteorological year","2001","°c","1.393"
"Temperature change on land","France","Temperature change","Meteorological year","2002","°c","1.055"
"Temperature change on land","France","Temperature change","Meteorological year","2003","°c","1.8"
"Temperature change on land","France","Temperature change","Meteorological year","2004","°c","0.974"
"Temperature change on land","France","Temperature change","Meteorological year","2005","°c","1.021"
"Temperature change on land","France","Temperature change","Meteorological year","2006","°c","1.312"
"Temperature change on land","France","Temperature change","Meteorological year","2007","°c","1.407"
"Temperature change on land","France","Temperature change","Meteorological year","2008","°c","0.991"
"Temperature change on land","France","Temperature change","Meteorological year","2009","°c","1.207"
"Temperature change on land","France","Temperature change","Meteorological year","2010","°c","0.391"
"Temperature change on land","France","Temperature change","Meteorological year","2011","°c","1.526"
"Temperature change on land","France","Temperature change","Meteorological year","2012","°c","1.212"
"Temperature change on land","France","Temperature change","Meteorological year","2013","°c","0.705"
"Temperature change on land","France","Temperature change","Meteorological year","2014","°c","2.036"
"Temperature change on land","France","Temperature change","Meteorological year","2015","°c","1.586"
"Temperature change on land","France","Temperature change","Meteorological year","2016","°c","1.764"
"Temperature change on land","France","Temperature change","Meteorological year","2017","°c","1.764"
"Temperature change on land","France","Temperature change","Meteorological year","2018","°c","2.007"
"Temperature change on land","France","Temperature change","Meteorological year","2019","°c","1.968"
"Temperature change on land","France","Temperature change","Meteorological year","2020","°c","2.494"
"Temperature change on land","France","Temperature change","Meteorological year","2021","°c","1.284"
"Temperature change on land","French Guiana","Temperature change","Meteorological year","2000","°c","0.652"
"Temperature change on land","French Guiana","Temperature change","Meteorological year","2001","°c","0.64"
"Temperature change on land","French Guiana","Temperature change","Meteorological year","2002","°c","0.704"
"Temperature change on land","French Guiana","Temperature change","Meteorological year","2003","°c","0.988"
"Temperature change on land","French Guiana","Temperature change","Meteorological year","2004","°c","0.968"
"Temperature change on land","French Guiana","Temperature change","Meteorological year","2005","°c","1.426"
"Temperature change on land","French Guiana","Temperature change","Meteorological year","2006","°c","0.826"
"Temperature change on land","French Guiana","Temperature change","Meteorological year","2007","°c","0.904"
"Temperature change on land","French Guiana","Temperature change","Meteorological year","2008","°c","0.839"
"Temperature change on land","French Guiana","Temperature change","Meteorological year","2009","°c","1.204"
"Temperature change on land","French Guiana","Temperature change","Meteorological year","2010","°c","1.426"
"Temperature change on land","French Guiana","Temperature change","Meteorological year","2011","°c","1"
"Temperature change on land","French Guiana","Temperature change","Meteorological year","2012","°c","0.952"
"Temperature change on land","French Guiana","Temperature change","Meteorological year","2013","°c","1.098"
"Temperature change on land","French Guiana","Temperature change","Meteorological year","2014","°c","1.128"
"Temperature change on land","French Guiana","Temperature change","Meteorological year","2015","°c","1.35"
"Temperature change on land","French Guiana","Temperature change","Meteorological year","2016","°c","1.758"
"Temperature change on land","French Guiana","Temperature change","Meteorological year","2017","°c","1.482"
"Temperature change on land","French Guiana","Temperature change","Meteorological year","2018","°c","1.223"
"Temperature change on land","French Guiana","Temperature change","Meteorological year","2019","°c","1.54"
"Temperature change on land","French Guiana","Temperature change","Meteorological year","2020","°c","1.65"
"Temperature change on land","French Guiana","Temperature change","Meteorological year","2021","°c","1.341"
"Temperature change on land","French Polynesia","Temperature change","Meteorological year","2000","°c","0.372"
"Temperature change on land","French Polynesia","Temperature change","Meteorological year","2001","°c","0.531"
"Temperature change on land","French Polynesia","Temperature change","Meteorological year","2002","°c","0.829"
"Temperature change on land","French Polynesia","Temperature change","Meteorological year","2003","°c","0.741"
"Temperature change on land","French Polynesia","Temperature change","Meteorological year","2004","°c","0.567"
"Temperature change on land","French Polynesia","Temperature change","Meteorological year","2005","°c","0.706"
"Temperature change on land","French Polynesia","Temperature change","Meteorological year","2006","°c","0.877"
"Temperature change on land","French Polynesia","Temperature change","Meteorological year","2007","°c","0.884"
"Temperature change on land","French Polynesia","Temperature change","Meteorological year","2008","°c","0.383"
"Temperature change on land","French Polynesia","Temperature change","Meteorological year","2009","°c","0.843"
"Temperature change on land","French Polynesia","Temperature change","Meteorological year","2010","°c","0.83"
"Temperature change on land","French Polynesia","Temperature change","Meteorological year","2011","°c","0.3"
"Temperature change on land","French Polynesia","Temperature change","Meteorological year","2012","°c","0.804"
"Temperature change on land","French Polynesia","Temperature change","Meteorological year","2013","°c","0.624"
"Temperature change on land","French Polynesia","Temperature change","Meteorological year","2014","°c","0.67"
"Temperature change on land","French Polynesia","Temperature change","Meteorological year","2015","°c","0.731"
"Temperature change on land","French Polynesia","Temperature change","Meteorological year","2016","°c","1.174"
"Temperature change on land","French Polynesia","Temperature change","Meteorological year","2017","°c","0.927"
"Temperature change on land","French Polynesia","Temperature change","Meteorological year","2018","°c","0.655"
"Temperature change on land","French Polynesia","Temperature change","Meteorological year","2019","°c","0.881"
"Temperature change on land","French Polynesia","Temperature change","Meteorological year","2020","°c","0.845"
"Temperature change on land","French Polynesia","Temperature change","Meteorological year","2021","°c","0.782"
"Temperature change on land","French Southern Territories","Temperature change","Meteorological year","2000","°c","0.654"
"Temperature change on land","French Southern Territories","Temperature change","Meteorological year","2001","°c","0.536"
"Temperature change on land","French Southern Territories","Temperature change","Meteorological year","2002","°c","0.522"
"Temperature change on land","French Southern Territories","Temperature change","Meteorological year","2003","°c","0.294"
"Temperature change on land","French Southern Territories","Temperature change","Meteorological year","2004","°c","0.487"
"Temperature change on land","French Southern Territories","Temperature change","Meteorological year","2005","°c","0.043"
"Temperature change on land","French Southern Territories","Temperature change","Meteorological year","2006","°c","0.188"
"Temperature change on land","French Southern Territories","Temperature change","Meteorological year","2007","°c","0.009"
"Temperature change on land","French Southern Territories","Temperature change","Meteorological year","2008","°c","0.257"
"Temperature change on land","French Southern Territories","Temperature change","Meteorological year","2009","°c","0.067"
"Temperature change on land","French Southern Territories","Temperature change","Meteorological year","2010","°c","0.196"
"Temperature change on land","French Southern Territories","Temperature change","Meteorological year","2011","°c","0.179"
"Temperature change on land","French Southern Territories","Temperature change","Meteorological year","2012","°c","0.615"
"Temperature change on land","French Southern Territories","Temperature change","Meteorological year","2013","°c","0.075"
"Temperature change on land","French Southern Territories","Temperature change","Meteorological year","2014","°c","-0.347"
"Temperature change on land","French Southern Territories","Temperature change","Meteorological year","2015","°c","0.439"
"Temperature change on land","French Southern Territories","Temperature change","Meteorological year","2016","°c","0.742"
"Temperature change on land","French Southern Territories","Temperature change","Meteorological year","2017","°c","0.74"
"Temperature change on land","French Southern Territories","Temperature change","Meteorological year","2018","°c","0.658"
"Temperature change on land","French Southern Territories","Temperature change","Meteorological year","2019","°c","0.548"
"Temperature change on land","French Southern Territories","Temperature change","Meteorological year","2020","°c","0.232"
"Temperature change on land","French Southern Territories","Temperature change","Meteorological year","2021","°c","0.494"
"Temperature change on land","Gabon","Temperature change","Meteorological year","2000","°c","0.299"
"Temperature change on land","Gabon","Temperature change","Meteorological year","2001","°c","0.25"
"Temperature change on land","Gabon","Temperature change","Meteorological year","2002","°c","0.621"
"Temperature change on land","Gabon","Temperature change","Meteorological year","2003","°c","0.84"
"Temperature change on land","Gabon","Temperature change","Meteorological year","2004","°c","0.818"
"Temperature change on land","Gabon","Temperature change","Meteorological year","2005","°c","0.718"
"Temperature change on land","Gabon","Temperature change","Meteorological year","2006","°c","0.786"
"Temperature change on land","Gabon","Temperature change","Meteorological year","2007","°c","0.912"
"Temperature change on land","Gabon","Temperature change","Meteorological year","2008","°c","0.789"
"Temperature change on land","Gabon","Temperature change","Meteorological year","2009","°c","0.802"
"Temperature change on land","Gabon","Temperature change","Meteorological year","2010","°c","1.078"
"Temperature change on land","Gabon","Temperature change","Meteorological year","2011","°c","0.649"
"Temperature change on land","Gabon","Temperature change","Meteorological year","2012","°c","0.631"
"Temperature change on land","Gabon","Temperature change","Meteorological year","2013","°c","0.788"
"Temperature change on land","Gabon","Temperature change","Meteorological year","2014","°c","0.88"
"Temperature change on land","Gabon","Temperature change","Meteorological year","2015","°c","0.996"
"Temperature change on land","Gabon","Temperature change","Meteorological year","2016","°c","1.478"
"Temperature change on land","Gabon","Temperature change","Meteorological year","2017","°c","1.307"
"Temperature change on land","Gabon","Temperature change","Meteorological year","2018","°c","1.099"
"Temperature change on land","Gabon","Temperature change","Meteorological year","2019","°c","1.43"
"Temperature change on land","Gabon","Temperature change","Meteorological year","2020","°c","1.269"
"Temperature change on land","Gabon","Temperature change","Meteorological year","2021","°c","0.942"
"Temperature change on land","Gambia","Temperature change","Meteorological year","2000","°c","0.995"
"Temperature change on land","Gambia","Temperature change","Meteorological year","2001","°c","1.338"
"Temperature change on land","Gambia","Temperature change","Meteorological year","2002","°c","1.453"
"Temperature change on land","Gambia","Temperature change","Meteorological year","2003","°c","1.159"
"Temperature change on land","Gambia","Temperature change","Meteorological year","2004","°c","1.278"
"Temperature change on land","Gambia","Temperature change","Meteorological year","2005","°c","1.599"
"Temperature change on land","Gambia","Temperature change","Meteorological year","2006","°c","1.297"
"Temperature change on land","Gambia","Temperature change","Meteorological year","2007","°c","1.189"
"Temperature change on land","Gambia","Temperature change","Meteorological year","2008","°c","1.45"
"Temperature change on land","Gambia","Temperature change","Meteorological year","2009","°c","0.776"
"Temperature change on land","Gambia","Temperature change","Meteorological year","2010","°c","1.424"
"Temperature change on land","Gambia","Temperature change","Meteorological year","2011","°c","1.145"
"Temperature change on land","Gambia","Temperature change","Meteorological year","2012","°c","0.982"
"Temperature change on land","Gambia","Temperature change","Meteorological year","2013","°c","1.084"
"Temperature change on land","Gambia","Temperature change","Meteorological year","2014","°c","1.268"
"Temperature change on land","Gambia","Temperature change","Meteorological year","2015","°c","1.292"
"Temperature change on land","Gambia","Temperature change","Meteorological year","2016","°c","1.739"
"Temperature change on land","Gambia","Temperature change","Meteorological year","2017","°c","1.875"
"Temperature change on land","Gambia","Temperature change","Meteorological year","2018","°c","1.169"
"Temperature change on land","Gambia","Temperature change","Meteorological year","2019","°c","1.489"
"Temperature change on land","Gambia","Temperature change","Meteorological year","2020","°c","1.916"
"Temperature change on land","Gambia","Temperature change","Meteorological year","2021","°c","1.825"
"Temperature change on land","Georgia","Temperature change","Meteorological year","2000","°c","0.956"
"Temperature change on land","Georgia","Temperature change","Meteorological year","2001","°c","1.281"
"Temperature change on land","Georgia","Temperature change","Meteorological year","2002","°c","1.048"
"Temperature change on land","Georgia","Temperature change","Meteorological year","2003","°c","-0.261"
"Temperature change on land","Georgia","Temperature change","Meteorological year","2004","°c","0.863"
"Temperature change on land","Georgia","Temperature change","Meteorological year","2005","°c","0.544"
"Temperature change on land","Georgia","Temperature change","Meteorological year","2006","°c","1.234"
"Temperature change on land","Georgia","Temperature change","Meteorological year","2007","°c","0.888"
"Temperature change on land","Georgia","Temperature change","Meteorological year","2008","°c","0.664"
"Temperature change on land","Georgia","Temperature change","Meteorological year","2009","°c","0.661"
"Temperature change on land","Georgia","Temperature change","Meteorological year","2010","°c","2.463"
"Temperature change on land","Georgia","Temperature change","Meteorological year","2011","°c","0.424"
"Temperature change on land","Georgia","Temperature change","Meteorological year","2012","°c","1.25"
"Temperature change on land","Georgia","Temperature change","Meteorological year","2013","°c","1.363"
"Temperature change on land","Georgia","Temperature change","Meteorological year","2014","°c","1.257"
"Temperature change on land","Georgia","Temperature change","Meteorological year","2015","°c","1.762"
"Temperature change on land","Georgia","Temperature change","Meteorological year","2016","°c","1.359"
"Temperature change on land","Georgia","Temperature change","Meteorological year","2017","°c","0.826"
"Temperature change on land","Georgia","Temperature change","Meteorological year","2018","°c","2.514"
"Temperature change on land","Georgia","Temperature change","Meteorological year","2019","°c","1.775"
"Temperature change on land","Georgia","Temperature change","Meteorological year","2020","°c","2.031"
"Temperature change on land","Georgia","Temperature change","Meteorological year","2021","°c","1.757"
"Temperature change on land","Germany","Temperature change","Meteorological year","2000","°c","1.765"
"Temperature change on land","Germany","Temperature change","Meteorological year","2001","°c","1.293"
"Temperature change on land","Germany","Temperature change","Meteorological year","2002","°c","1.492"
"Temperature change on land","Germany","Temperature change","Meteorological year","2003","°c","1.261"
"Temperature change on land","Germany","Temperature change","Meteorological year","2004","°c","1.004"
"Temperature change on land","Germany","Temperature change","Meteorological year","2005","°c","1.031"
"Temperature change on land","Germany","Temperature change","Meteorological year","2006","°c","1.263"
"Temperature change on land","Germany","Temperature change","Meteorological year","2007","°c","2.098"
"Temperature change on land","Germany","Temperature change","Meteorological year","2008","°c","1.55"
"Temperature change on land","Germany","Temperature change","Meteorological year","2009","°c","1.287"
"Temperature change on land","Germany","Temperature change","Meteorological year","2010","°c","0.2"
"Temperature change on land","Germany","Temperature change","Meteorological year","2011","°c","1.126"
"Temperature change on land","Germany","Temperature change","Meteorological year","2012","°c","1.354"
"Temperature change on land","Germany","Temperature change","Meteorological year","2013","°c","0.588"
"Temperature change on land","Germany","Temperature change","Meteorological year","2014","°c","2.518"
"Temperature change on land","Germany","Temperature change","Meteorological year","2015","°c","1.67"
"Temperature change on land","Germany","Temperature change","Meteorological year","2016","°c","1.982"
"Temperature change on land","Germany","Temperature change","Meteorological year","2017","°c","1.645"
"Temperature change on land","Germany","Temperature change","Meteorological year","2018","°c","2.385"
"Temperature change on land","Germany","Temperature change","Meteorological year","2019","°c","2.322"
"Temperature change on land","Germany","Temperature change","Meteorological year","2020","°c","2.506"
"Temperature change on land","Germany","Temperature change","Meteorological year","2021","°c","1.315"
"Temperature change on land","Ghana","Temperature change","Meteorological year","2000","°c","0.502"
"Temperature change on land","Ghana","Temperature change","Meteorological year","2001","°c","0.637"
"Temperature change on land","Ghana","Temperature change","Meteorological year","2002","°c","0.937"
"Temperature change on land","Ghana","Temperature change","Meteorological year","2003","°c","1.127"
"Temperature change on land","Ghana","Temperature change","Meteorological year","2004","°c","0.865"
"Temperature change on land","Ghana","Temperature change","Meteorological year","2005","°c","1.103"
"Temperature change on land","Ghana","Temperature change","Meteorological year","2006","°c","1.122"
"Temperature change on land","Ghana","Temperature change","Meteorological year","2007","°c","1.072"
"Temperature change on land","Ghana","Temperature change","Meteorological year","2008","°c","0.831"
"Temperature change on land","Ghana","Temperature change","Meteorological year","2009","°c","1.009"
"Temperature change on land","Ghana","Temperature change","Meteorological year","2010","°c","1.39"
"Temperature change on land","Ghana","Temperature change","Meteorological year","2011","°c","0.991"
"Temperature change on land","Ghana","Temperature change","Meteorological year","2012","°c","0.73"
"Temperature change on land","Ghana","Temperature change","Meteorological year","2013","°c","0.989"
"Temperature change on land","Ghana","Temperature change","Meteorological year","2014","°c","0.993"
"Temperature change on land","Ghana","Temperature change","Meteorological year","2015","°c","1.221"
"Temperature change on land","Ghana","Temperature change","Meteorological year","2016","°c","1.378"
"Temperature change on land","Ghana","Temperature change","Meteorological year","2017","°c","1.474"
"Temperature change on land","Ghana","Temperature change","Meteorological year","2018","°c","1.235"
"Temperature change on land","Ghana","Temperature change","Meteorological year","2019","°c","1.395"
"Temperature change on land","Ghana","Temperature change","Meteorological year","2020","°c","1.397"
"Temperature change on land","Ghana","Temperature change","Meteorological year","2021","°c","1.64"
"Temperature change on land","Gibraltar","Temperature change","Meteorological year","2000","°c","0.799"
"Temperature change on land","Gibraltar","Temperature change","Meteorological year","2001","°c","1.231"
"Temperature change on land","Gibraltar","Temperature change","Meteorological year","2002","°c","0.803"
"Temperature change on land","Gibraltar","Temperature change","Meteorological year","2003","°c","1.353"
"Temperature change on land","Gibraltar","Temperature change","Meteorological year","2004","°c","0.997"
"Temperature change on land","Gibraltar","Temperature change","Meteorological year","2005","°c","0.818"
"Temperature change on land","Gibraltar","Temperature change","Meteorological year","2006","°c","1.395"
"Temperature change on land","Gibraltar","Temperature change","Meteorological year","2007","°c","0.794"
"Temperature change on land","Gibraltar","Temperature change","Meteorological year","2008","°c","0.96"
"Temperature change on land","Gibraltar","Temperature change","Meteorological year","2009","°c","1.24"
"Temperature change on land","Gibraltar","Temperature change","Meteorological year","2010","°c","1.312"
"Temperature change on land","Gibraltar","Temperature change","Meteorological year","2011","°c","1.656"
"Temperature change on land","Gibraltar","Temperature change","Meteorological year","2012","°c","0.959"
"Temperature change on land","Gibraltar","Temperature change","Meteorological year","2013","°c","0.887"
"Temperature change on land","Gibraltar","Temperature change","Meteorological year","2014","°c","1.462"
"Temperature change on land","Gibraltar","Temperature change","Meteorological year","2015","°c","1.409"
"Temperature change on land","Gibraltar","Temperature change","Meteorological year","2016","°c","1.768"
"Temperature change on land","Gibraltar","Temperature change","Meteorological year","2017","°c","2.064"
"Temperature change on land","Gibraltar","Temperature change","Meteorological year","2018","°c","0.784"
"Temperature change on land","Gibraltar","Temperature change","Meteorological year","2019","°c","1.342"
"Temperature change on land","Gibraltar","Temperature change","Meteorological year","2020","°c","1.957"
"Temperature change on land","Gibraltar","Temperature change","Meteorological year","2021","°c","1.507"
"Temperature change on land","Greece","Temperature change","Meteorological year","2000","°c","0.704"
"Temperature change on land","Greece","Temperature change","Meteorological year","2001","°c","1.348"
"Temperature change on land","Greece","Temperature change","Meteorological year","2002","°c","0.486"
"Temperature change on land","Greece","Temperature change","Meteorological year","2003","°c","0.435"
"Temperature change on land","Greece","Temperature change","Meteorological year","2004","°c","0.386"
"Temperature change on land","Greece","Temperature change","Meteorological year","2005","°c","0.243"
"Temperature change on land","Greece","Temperature change","Meteorological year","2006","°c","0.286"
"Temperature change on land","Greece","Temperature change","Meteorological year","2007","°c","1.096"
"Temperature change on land","Greece","Temperature change","Meteorological year","2008","°c","0.881"
"Temperature change on land","Greece","Temperature change","Meteorological year","2009","°c","0.761"
"Temperature change on land","Greece","Temperature change","Meteorological year","2010","°c","1.574"
"Temperature change on land","Greece","Temperature change","Meteorological year","2011","°c","0.387"
"Temperature change on land","Greece","Temperature change","Meteorological year","2012","°c","1.22"
"Temperature change on land","Greece","Temperature change","Meteorological year","2013","°c","1.309"
"Temperature change on land","Greece","Temperature change","Meteorological year","2014","°c","1.037"
"Temperature change on land","Greece","Temperature change","Meteorological year","2015","°c","0.87"
"Temperature change on land","Greece","Temperature change","Meteorological year","2016","°c","1.545"
"Temperature change on land","Greece","Temperature change","Meteorological year","2017","°c","0.604"
"Temperature change on land","Greece","Temperature change","Meteorological year","2018","°c","1.851"
"Temperature change on land","Greece","Temperature change","Meteorological year","2019","°c","1.309"
"Temperature change on land","Greece","Temperature change","Meteorological year","2020","°c","1.238"
"Temperature change on land","Greece","Temperature change","Meteorological year","2021","°c","1.587"
"Temperature change on land","Greenland","Temperature change","Meteorological year","2000","°c","0.9"
"Temperature change on land","Greenland","Temperature change","Meteorological year","2001","°c","0.852"
"Temperature change on land","Greenland","Temperature change","Meteorological year","2002","°c","1.071"
"Temperature change on land","Greenland","Temperature change","Meteorological year","2003","°c","2.363"
"Temperature change on land","Greenland","Temperature change","Meteorological year","2004","°c","1.473"
"Temperature change on land","Greenland","Temperature change","Meteorological year","2005","°c","1.9"
"Temperature change on land","Greenland","Temperature change","Meteorological year","2006","°c","1.678"
"Temperature change on land","Greenland","Temperature change","Meteorological year","2007","°c","1.41"
"Temperature change on land","Greenland","Temperature change","Meteorological year","2008","°c","0.866"
"Temperature change on land","Greenland","Temperature change","Meteorological year","2009","°c","0.829"
"Temperature change on land","Greenland","Temperature change","Meteorological year","2010","°c","3.231"
"Temperature change on land","Greenland","Temperature change","Meteorological year","2011","°c","1.622"
"Temperature change on land","Greenland","Temperature change","Meteorological year","2012","°c","1.548"
"Temperature change on land","Greenland","Temperature change","Meteorological year","2013","°c","1.413"
"Temperature change on land","Greenland","Temperature change","Meteorological year","2014","°c","1.653"
"Temperature change on land","Greenland","Temperature change","Meteorological year","2015","°c","0.129"
"Temperature change on land","Greenland","Temperature change","Meteorological year","2016","°c","2.363"
"Temperature change on land","Greenland","Temperature change","Meteorological year","2017","°c","1.159"
"Temperature change on land","Greenland","Temperature change","Meteorological year","2018","°c","0.916"
"Temperature change on land","Greenland","Temperature change","Meteorological year","2019","°c","2.125"
"Temperature change on land","Greenland","Temperature change","Meteorological year","2020","°c","1.102"
