VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Ireland,2009,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Ireland,2010,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Ireland,2011,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Ireland,2012,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Ireland,2013,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Ireland,2014,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Ireland,2015,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Ireland,2016,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Ireland,2017,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Ireland,2018,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Ireland,2019,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Ireland,2020,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Italy,2006,67.448112975,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Italy,2007,67.48000405,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Italy,2008,66.514273929,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Italy,2009,65.512048193,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Italy,2010,64.471218206,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Italy,2011,66.951368311,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Italy,2012,69.31789151,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Italy,2013,71.578421578,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Italy,2014,68.29047148,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Italy,2015,65.066927849,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Italy,2016,62.069217023,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Italy,2017,61.898652983,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Italy,2018,61.909468274,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Italy,2019,61.915692821,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Italy,2020,67.485624673,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Latvia,2006,38.271604938,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Latvia,2007,74.698795181,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Latvia,2008,69.642857143,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Latvia,2009,65.594855306,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Latvia,2010,62.280701754,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Latvia,2011,62.886597938,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Latvia,2012,63.75,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Latvia,2013,65.079365079,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Latvia,2014,72.98136646,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Latvia,2015,80.547112462,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Latvia,2016,87.797619048,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Latvia,2017,88.169642857,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Latvia,2018,88.541666667,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Latvia,2019,77.969649398,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Latvia,2020,72.235673931,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Lithuania,2006,13.845114813,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Lithuania,2007,74.626865672,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Lithuania,2008,33.542976939,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Lithuania,2009,41.698232323,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Lithuania,2010,60.793650794,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Lithuania,2011,44.674329502,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Lithuania,2012,35.525525526,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Lithuania,2013,39.215686275,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Lithuania,2014,41.581027668,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Lithuania,2015,43.797856049,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Lithuania,2016,45.879732739,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Lithuania,2017,45.879732739,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Lithuania,2018,45.879732739,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Lithuania,2019,45.879732739,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Lithuania,2020,45.879732739,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Luxembourg,2006,346.153846154,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Luxembourg,2015,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Luxembourg,2016,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Luxembourg,2017,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Luxembourg,2018,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Luxembourg,2019,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Luxembourg,2020,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Malta,2006,84.726688103,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Malta,2007,87.8125,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Malta,2008,88.481675393,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Malta,2009,89.157894737,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Malta,2010,89.841269841,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Malta,2011,88.761904762,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Malta,2012,87.878787879,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Malta,2013,87.142857143,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Malta,2014,93.126272912,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Malta,2015,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Malta,2016,87.142857143,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Malta,2017,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Malta,2018,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Malta,2019,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Malta,2020,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Netherlands (Kingdom of the),2006,34.132470235,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Netherlands (Kingdom of the),2007,44.234975068,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Netherlands (Kingdom of the),2008,38.691088261,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Netherlands (Kingdom of the),2009,33.366918556,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Netherlands (Kingdom of the),2010,28.252505093,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Netherlands (Kingdom of the),2011,25.580399619,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Netherlands (Kingdom of the),2012,22.955953664,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Netherlands (Kingdom of the),2013,20.378454145,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Netherlands (Kingdom of the),2014,26.413568167,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Netherlands (Kingdom of the),2015,32.180762852,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Netherlands (Kingdom of the),2016,38.534251818,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Netherlands (Kingdom of the),2017,47.668962878,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Netherlands (Kingdom of the),2018,56.803673938,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Netherlands (Kingdom of the),2019,48.840604669,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Netherlands (Kingdom of the),2020,67.738614619,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Poland,2006,59.401442207,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Poland,2007,62.276380607,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Poland,2008,59.903477838,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Poland,2009,57.017964605,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Poland,2010,53.438967136,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Poland,2011,55.489950554,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Poland,2012,57.698593442,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Poland,2013,60.08442158,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Poland,2014,52.950345574,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Poland,2015,50.322387368,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Poland,2016,48.952106856,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Poland,2017,28.7685051,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Poland,2018,16.218485786,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Poland,2019,13.638506767,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Poland,2020,11.765684806,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Portugal,2006,72.874156742,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Portugal,2007,72.206804399,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Portugal,2008,75.389974665,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Portugal,2009,78.621181584,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Portugal,2010,86.216905783,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Portugal,2011,83.240466611,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Portugal,2012,84.5970294,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Portugal,2013,86.479628824,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Portugal,2014,86.646673937,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Portugal,2015,86.757741348,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Portugal,2016,86.619204089,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Portugal,2017,86.619204089,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Portugal,2018,86.619204089,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Portugal,2019,86.619204089,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Portugal,2020,86.619204089,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Romania,2006,42.134156666,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Romania,2007,28.180000975,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Romania,2008,66.486732114,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Romania,2009,69.213940019,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Romania,2010,31.882881162,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Romania,2011,89.760123465,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Romania,2012,113.991040602,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Romania,2013,66.322323017,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Romania,2014,145.021325698,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Romania,2015,54.93807558,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Romania,2016,4.858685297,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Romania,2017,6.732295967,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Romania,2018,8.478882185,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Romania,2019,9.110005374,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Romania,2020,14.937873622,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Slovakia,2006,23.235457064,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Slovakia,2007,22.726744186,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Slovakia,2008,20.534216335,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Slovakia,2009,17.633333333,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Slovakia,2010,13.614678899,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Slovakia,2011,17.088527893,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Slovakia,2012,20.773322953,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Slovakia,2013,24.688879968,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Slovakia,2014,27.63203116,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Slovakia,2015,33.901084063,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Slovakia,2016,35.019255934,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Slovakia,2017,38.813003471,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Slovakia,2018,33.459875647,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Slovakia,2019,30.839694657,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Slovakia,2020,40.837696335,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Slovenia,2015,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Slovenia,2016,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Slovenia,2017,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Slovenia,2018,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Slovenia,2019,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Slovenia,2020,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Spain,2006,86.418089404,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Spain,2007,88.968333088,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Spain,2008,83.615942029,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Spain,2009,91.151865541,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Spain,2010,84.863578211,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Spain,2011,94.267439457,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Spain,2012,99.471557352,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Spain,2013,81.827547858,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Spain,2014,82.055590737,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Spain,2015,82.975963185,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Spain,2016,83.578340755,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Spain,2017,83.568877479,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Spain,2018,82.670126217,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Spain,2019,81.494206851,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Spain,2020,82.997510687,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Sweden,2006,31.534482231,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Sweden,2007,33.921973824,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Sweden,2008,35.481069457,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Sweden,2009,37.011164601,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Sweden,2010,38.513060951,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Sweden,2011,36.854828712,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Sweden,2012,35.135817535,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Sweden,2013,33.352623457,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Sweden,2014,33.386620668,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Sweden,2015,33.420617879,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Sweden,2016,33.45461509,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Sweden,2017,36.522138468,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Sweden,2018,39.542997234,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Sweden,2019,42.518248175,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,Sweden,2020,45.448916409,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,United Kingdom of Great Britain and Northern Ireland,2006,91.429029323,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,United Kingdom of Great Britain and Northern Ireland,2007,100.079658194,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,United Kingdom of Great Britain and Northern Ireland,2008,84.369484911,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,United Kingdom of Great Britain and Northern Ireland,2009,75.412976183,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,United Kingdom of Great Britain and Northern Ireland,2010,69.761328987,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,United Kingdom of Great Britain and Northern Ireland,2011,54.379270288,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,United Kingdom of Great Britain and Northern Ireland,2012,46.167145277,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,United Kingdom of Great Britain and Northern Ireland,2013,42.581036575,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,United Kingdom of Great Britain and Northern Ireland,2014,56.147008467,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,United Kingdom of Great Britain and Northern Ireland,2015,67.387641826,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,United Kingdom of Great Britain and Northern Ireland,2016,36.108765411,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,United Kingdom of Great Britain and Northern Ireland,2017,75.299401683,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,United Kingdom of Great Britain and Northern Ireland,2018,75.299401683,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,United Kingdom of Great Britain and Northern Ireland,2019,75.299401683,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of the area equipped for irrigation actually irrigated,United Kingdom of Great Britain and Northern Ireland,2020,75.299401683,%,E,False
Irrigation and drainage development,Irrigated crop area and cropping intensity,% of total grain production irrigated,Cyprus,2006,14,%,I,False
Irrigation and drainage development,Irrigated crop area and cropping intensity,% of total grain production irrigated,Cyprus,2007,14,%,I,False
Irrigation and drainage development,Irrigated crop area and cropping intensity,% of total grain production irrigated,Cyprus,2008,14,%,I,False
Irrigation and drainage development,Irrigated crop area and cropping intensity,% of total grain production irrigated,Cyprus,2009,14,%,I,False
Irrigation and drainage development,Irrigated crop area and cropping intensity,% of total grain production irrigated,Cyprus,2010,14,%,I,False
Irrigation and drainage development,Irrigated crop area and cropping intensity,% of total grain production irrigated,Cyprus,2011,14,%,I,False
Irrigation and drainage development,Irrigated crop area and cropping intensity,% of total grain production irrigated,Cyprus,2012,14,%,I,False
Irrigation and drainage development,Irrigated crop area and cropping intensity,% of total grain production irrigated,Cyprus,2013,14,%,I,False
Irrigation and drainage development,Irrigated crop area and cropping intensity,% of total grain production irrigated,Cyprus,2014,14,%,I,False
Irrigation and drainage development,Irrigated crop area and cropping intensity,% of total grain production irrigated,Cyprus,2015,14,%,I,False
Irrigation and drainage development,Irrigated crop area and cropping intensity,% of total grain production irrigated,Cyprus,2016,14,%,I,False
Irrigation and drainage development,Irrigated crop area and cropping intensity,% of total grain production irrigated,Cyprus,2017,14,%,I,False
Irrigation and drainage development,Irrigated crop area and cropping intensity,% of total grain production irrigated,Cyprus,2018,14,%,I,False
Irrigation and drainage development,Irrigated crop area and cropping intensity,% of total grain production irrigated,Cyprus,2019,14,%,I,False
Irrigation and drainage development,Irrigated crop area and cropping intensity,% of total grain production irrigated,Cyprus,2020,14,%,I,False
Irrigation and drainage development,Irrigated crop area and cropping intensity,% of total grain production irrigated,Malta,2006,0,%,I,False
Irrigation and drainage development,Irrigated crop area and cropping intensity,% of total grain production irrigated,Malta,2007,0,%,I,False
Irrigation and drainage development,Irrigated crop area and cropping intensity,% of total grain production irrigated,Malta,2008,0,%,I,False
Irrigation and drainage development,Irrigated crop area and cropping intensity,% of total grain production irrigated,Malta,2009,0,%,I,False
Irrigation and drainage development,Irrigated crop area and cropping intensity,% of total grain production irrigated,Malta,2010,0,%,I,False
Irrigation and drainage development,Irrigated crop area and cropping intensity,% of total grain production irrigated,Malta,2011,0,%,I,False
Irrigation and drainage development,Irrigated crop area and cropping intensity,% of total grain production irrigated,Malta,2012,0,%,I,False
Irrigation and drainage development,Irrigated crop area and cropping intensity,% of total grain production irrigated,Malta,2013,0,%,I,False
Irrigation and drainage development,Irrigated crop area and cropping intensity,% of total grain production irrigated,Malta,2014,0,%,I,False
Irrigation and drainage development,Irrigated crop area and cropping intensity,% of total grain production irrigated,Malta,2015,0,%,I,False
Irrigation and drainage development,Irrigated crop area and cropping intensity,% of total grain production irrigated,Malta,2016,0,%,I,False
